taxonid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,taxonomic_authority,infra_rank,infra_name,population,noteType,main_common_name
7030,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Ectophylla,Ectophylla alba,"H. Allen, 1892",,,,NT,Honduran White Bat
7033,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,STREPTAXIDAE,Edentulina,Edentulina usambarensis,Bequaert &amp; Clench,,,,DD,
7035,ANIMALIA,CNIDARIA,ANTHOZOA,ACTINARIA,EDWARDSIIDAE,Edwardsia,Edwardsia ivelli,"Manuel, 1975",,,,DD,Ivell's Sea Anemone
7036,ANIMALIA,ARTHROPODA,INSECTA,DIPTERA,BLEPHARICERIDAE,Edwardsina,Edwardsina gigantea,"Zwick, 1977",,,,EN,Giant Torrent Midge
7037,ANIMALIA,ARTHROPODA,INSECTA,DIPTERA,BLEPHARICERIDAE,Edwardsina,Edwardsina tasmaniensis,"Tonnoir, 1924",,,,VU,Tasmanian Torrent Midge
7040,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Liopholis,Liopholis kintorei,"(Stirling &amp; Zietz, 1893)",,,,VU,Great Desert Skink
7083,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Eidolon,Eidolon dupreanum,"(Pollen in Schlegel &amp; Pollen, 1866)",,,,VU,Madagascan Fruit Bat
7084,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Eidolon,Eidolon helvum,"(Kerr, 1792)",,,,NT,African Straw-coloured Fruit-bat
7091,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,COLUBRIDAE,Elachistodon,Elachistodon westermanni,"Reinhardt, 1863",,,,LC,Indian Egg-eater
7112,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Elaphodus,Elaphodus cephalophus,"Milne-Edwards, 1872",,,,NT,Tufted Deer
7116,ANIMALIA,ARTHROPODA,MAXILLOPODA,HARPACTICOIDA,CANTHOCAMPTIDAE,Elaphoidella,Elaphoidella amabilis,"Ishida, 1993",,,,VU,
7117,ANIMALIA,ARTHROPODA,MAXILLOPODA,HARPACTICOIDA,CANTHOCAMPTIDAE,Elaphoidella,Elaphoidella franci,"Petkovski, 1983",,,,VU,
7118,ANIMALIA,ARTHROPODA,MAXILLOPODA,HARPACTICOIDA,CANTHOCAMPTIDAE,Elaphoidella,Elaphoidella jeanneli,"(Chappuis, 1928)",,,,VU,
7119,ANIMALIA,ARTHROPODA,MAXILLOPODA,HARPACTICOIDA,CANTHOCAMPTIDAE,Elaphoidella,Elaphoidella kieferi,"Loffler, 1968",,,,VU,
7120,ANIMALIA,ARTHROPODA,INSECTA,COLEOPTERA,CARABIDAE,Elaphrus,Elaphrus viridis,"Horn, 1878",,,,CR,Delta Green Ground Beetle
7121,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,CERVIDAE,Elaphurus,Elaphurus davidianus,"Milne-Edwards, 1866",,,,EW,Père David's Deer
7122,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ELAPIDAE,Elapognathus,Elapognathus minor,"(Günther, 1863)",,,,LC,Little Brown Snake
7123,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Elasmias,Elasmias kitaiwojimanum,"(Pilsbry and Hirase, 1903)",,,,VU,
7124,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Elasmias,Elasmias quadrasi,"(von Möllendorff, 1894) ",,,,DD,
7125,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Elasmias,Elasmias jaurffreti,"Madge, 1946",,,,DD,
7126,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Elasmias,Elasmias cernicum,"Benson, 1850",,,,VU,
7128,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ELASSOMATIDAE,Elassoma,Elassoma boehlkei,"Rohde &amp; Arndt, 1987",,,,VU,Carolina Pygmy Sunfish
7129,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ELASSOMATIDAE,Elassoma,Elassoma okatie,"Rohde &amp; Arndt, 1987",,,,VU,Bluebarred Pygmy Sunfish
7134,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ELEOTRIDAE,Eleotris,Eleotris sandwicensis,"Vaillant &amp; Sauvage, 1875",,,,DD,Hawaii Spinecheek Gudgeon
7135,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ELEOTRIDAE,Eleotris,Eleotris melanosoma,"Bleeker, 1853",,,,LC,Broadhead Sleeper
7136,ANIMALIA,CHORDATA,MAMMALIA,MACROSCELIDEA,MACROSCELIDIDAE,Elephantulus,Elephantulus edwardii,"(A. Smith, 1839)",,,,LC,Cape Rock Sengi
7137,ANIMALIA,CHORDATA,MAMMALIA,MACROSCELIDEA,MACROSCELIDIDAE,Elephantulus,Elephantulus revoilii,"(Huet, 1881)",,,,DD,Somali Sengi
7138,ANIMALIA,CHORDATA,MAMMALIA,MACROSCELIDEA,MACROSCELIDIDAE,Elephantulus,Elephantulus rupestris,"(A. Smith, 1831)",,,,LC,Western Rock Sengi
7140,ANIMALIA,CHORDATA,MAMMALIA,PROBOSCIDEA,ELEPHANTIDAE,Elephas,Elephas maximus,"Linnaeus, 1758",,,,EN,Asian Elephant
7142,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,Eleutherodactylus jasperi,"Drewry &amp; Jones, 1976",,,,CR,Golden Coqui
7143,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,Eleutherodactylus cavernicola,"Lynn, 1954",,,,CR,Portland Ridge Frog
7144,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,Eleutherodactylus fuscus,"Lynn &amp; Dent, 1943",,,,EN,Jamaican Ear-spotted Frog
